Village,District,Latitude,Longitude,Population,Energie solaire,Cluster
Vallamand,Broye-Vully,46.9299746,7.0400809,389,1350,1
Chesalles-sur-Moudon,Broye-Vully,46.6752799,6.8330547,169,1350,1
Mur,Broye-Vully,46.9442044,7.0603683,203,1350,1
Neyruz-sur-Moudon,Gros-de-Vaud,46.6973091,6.7872879,119,1231,1
Sottens,Gros-de-Vaud,46.6554824,6.7421506,210,1231,1
Grandvaux,Lavaux-Oron,46.4941972,6.7161306,1985,985,0
Carrouge,Lavaux-Oron,46.6044706,6.7755538,1111,985,1
Combremont-le-Grand,Broye-Vully,46.7619853,6.8180582,308,1350,1
Saint-Saphorin-sur-Morges,Morges,46.5465313,6.4867816,462,1273,1
Poliez-le-Grand,Gros-de-Vaud,46.637758,6.663604,528,1231,1
Oron-la-Ville,Lavaux-Oron,46.5709236,6.8274668,1224,985,0
Oulens-sur-Lucens,Broye-Vully,46.7041201,6.8080342,52,1350,1
Fontanezier,Jura-Nord vaudois,46.8537878,6.6533076,70,1205,2
Cremin,Broye-Vully,46.7259218,6.8432266,58,1350,1
Villette,Lavaux-Oron,46.4944793,6.7094638,581,985,0
Colombier,Morges,46.5565027,6.4719318,522,1273,1
Essert-Pittet,Jura-Nord vaudois,46.7276519,6.5821566,164,1205,0
Granges-près-Marnand,Broye-Vully,46.7644219,6.8864746,1146,1350,0
Sarzens,Broye-Vully,46.6820356,6.8496603,80,1350,1
Monnaz,Morges,46.5286626,6.4794327,372,1273,1
Ecoteaux,Lavaux-Oron,46.5455062,6.8632391,331,985,1
Villars-Mendraz,Gros-de-Vaud,46.6462278,6.7293282,190,1231,1
Prahins,Jura-Nord vaudois,46.7347103,6.7398561,126,1205,1
Goumoens-la-Ville,Gros-de-Vaud,46.6581874,6.6048232,611,1231,1
Gressy,Jura-Nord vaudois,46.749093,6.63595,139,1205,3
Vuibroye,Lavaux-Oron,46.5717416,6.8052936,120,985,1
Marnand,Broye-Vully,46.756488,6.8999296,145,1350,0
Sugnens,Gros-de-Vaud,46.6549732,6.6718853,233,1231,0
Corcelles-sur-Chavornay,Jura-Nord vaudois,46.7036344,6.6011825,353,1205,1
Gossens,Jura-Nord vaudois,46.738321,6.699106,113,1205,1
Correvon,Gros-de-Vaud,46.7158142,6.7373666,108,1231,1
Les Cullayes,Lavaux-Oron,46.5730628,6.7537317,628,985,1
Thierrens,Gros-de-Vaud,46.7034256,6.7550299,619,1231,1
Combremont-le-Petit,Broye-Vully,46.7493162,6.8087604,368,1350,1
Mézery-près-Donneloye,Jura-Nord vaudois,46.7484266,6.7262743,69,1205,1
Chanéaz,Gros-de-Vaud,46.7295664,6.7417615,107,1231,1
Seigneux,Broye-Vully,46.7273878,6.8786301,276,1350,1
Malapalud,Gros-de-Vaud,46.621184,6.6411466,92,1231,1
Denezy,Gros-de-Vaud,46.7216537,6.7845389,128,1231,1
Ferlens,Lavaux-Oron,46.5888578,6.7868326,331,985,1
Chapelle-sur-Moudon,Gros-de-Vaud,46.6691282,6.736023,405,1231,1
Cerniaz,Broye-Vully,46.7271483,6.896079,63,1350,1
Montherod,Morges,46.4985819,6.3660069,439,1273,1
Riex,Lavaux-Oron,46.4935165,6.7358129,269,985,0
Sassel,Broye-Vully,46.7766193,6.857103,148,1350,1
Martherenges,Gros-de-Vaud,46.6609373,6.7532478,78,1231,1
Villars-Tiercelin,Gros-de-Vaud,46.6253713,6.7045253,343,1231,1
Villars-Bramard,Broye-Vully,46.7191779,6.8989641,118,1350,1
Peyres-Possens,Gros-de-Vaud,46.6625985,6.707191,140,1231,1
Forel-sur-Lucens,Broye-Vully,46.7282576,6.8222876,152,1350,1
Epesses,Lavaux-Oron,46.4913262,6.7475919,332,985,0
Saint-Cierges,Gros-de-Vaud,46.6903286,6.7349556,458,1231,1
Mézières,Lavaux-Oron,46.5957836,6.7705874,1193,985,1
Oleyres,Broye-Vully,46.8534797,7.0384206,240,1350,1
Saint-Légier-La Chiésaz,Riviera-Pays d'Enhaut,46.4722777,6.8759701,4068,1115,2
Sédeilles,Broye-Vully,46.7482527,6.9344024,144,1350,1
Bellerive,Broye-Vully,46.9237676,7.0231892,632,1350,1
Brenles,Broye-Vully,46.6712187,6.8538119,144,1350,1
Montmagny,Broye-Vully,46.9265535,7.0105362,178,1350,1
Villars-le-Grand,Broye-Vully,46.9055732,6.9902145,275,1350,1
Cully,Lavaux-Oron,46.4883249,6.7296804,1785,985,0
Chabrey,Broye-Vully,46.9264329,6.9812292,267,1350,1
Constantine,Broye-Vully,46.9181932,7.0115066,327,1350,1
Cottens,Morges,46.5718814,6.4547941,343,1273,1
Pampigny,Morges,46.5806506,6.4284521,828,1273,0
Sévery,Morges,46.5758446,6.4388219,223,1273,0
Blonay,Riviera-Pays d'Enhaut,46.4650397,6.8951981,4695,1115,2
Bussy-Chardonney,Morges,46.5291113,6.4419818,337,1273,0
Bioley-Orjulaz,Gros-de-Vaud,46.6211356,6.5984553,458,1231,1
Chavornay,Jura-Nord vaudois,46.706261,6.5693871,4903,1205,0
Orbe,Jura-Nord vaudois,46.724144,6.5317943,6601,1205,0
Chavannes-des-Bois,Nyon,46.3147141,6.132561,797,1461,1
Bogis-Bossey,Nyon,46.3515732,6.1648147,830,1461,1
Coppet,Nyon,46.3164464,6.1927752,2887,1461,0
Aubonne,Morges,46.4952916,6.3915748,2570,1273,1
Etoy,Morges,46.4860906,6.4193113,2860,1273,0
Buchillon,Morges,46.4702466,6.4230108,648,1273,1
Allaman,Morges,46.4707776,6.396174,402,1273,0
Lavigny,Morges,46.5011843,6.4045912,897,1273,1
Grandson,Jura-Nord vaudois,46.8086306,6.6417532,3181,1205,0
Vallorbe,Jura-Nord vaudois,46.7120146,6.3792318,3850,1205,2
Le Lieu,Jura-Nord vaudois,46.6462186,6.280313,795,1205,2
Vaulion,Jura-Nord vaudois,46.6883547,6.3894066,437,1205,2
Romainmôtier-Envy,Jura-Nord vaudois,46.6932583,6.4611912,526,1205,2
Croy,Jura-Nord vaudois,46.6945678,6.4771721,321,1205,0
Arnex-sur-Orbe,Jura-Nord vaudois,46.6941594,6.5187517,600,1205,0
Cossonay,Morges,46.6138202,6.508938,4386,1273,0
La Sarraz,Morges,46.6590583,6.5124448,1728,1273,0
Orny,Morges,46.6676263,6.5256309,334,1273,1
Lucens,Broye-Vully,46.708447,6.8389766,4133,1350,0
Bex,Aigle,46.2513776,7.0123881,7364,1115,2
Paudex,Lavaux-Oron,46.5056892,6.6732336,1416,985,3
Belmont-sur-Lausanne,Lavaux-Oron,46.5200729,6.6800519,3575,985,1
Corcelles-près-Concise,Jura-Nord vaudois,46.8480696,6.7079314,310,1205,1
Saint-Saphorin (Lavaux),Lavaux-Oron,46.4731819,6.7959554,377,985,1
Lonay,Morges,46.5265684,6.5206068,2490,1273,0
Romanel-sur-Lausanne,Lausanne,46.5621173,6.6055577,3279,1074,0
