Libellé,Cluster,Districts
Aigle,3,Aigle
Bex,2,Aigle
Chessel,1,Aigle
Corbeyrier,2,Aigle
Gryon,2,Aigle
Lavey-Morcles,2,Aigle
Leysin,2,Aigle
Noville,1,Aigle
Ollon,2,Aigle
Ormont-Dessous,2,Aigle
Ormont-Dessus,2,Aigle
Rennaz,1,Aigle
Roche,0,Aigle
Villeneuve,2,Aigle
Yvorne,2,Aigle
Aubonne,1,Morges
Ballens,0,Morges
Berolle,2,Morges
Bière,2,Morges
Bougy-Villars,1,Morges
Féchy,1,Morges
Gimel,2,Morges
Longirod,2,Nyon
Marchissy,2,Nyon
Mollens,2,Morges
Saint-George,2,Nyon
Saint-Livres,1,Morges
Saint-Oyens,1,Morges
Saubraz,1,Morges
Avenches,0,Broye-Vully
Cudrefin,1,Broye-Vully
Faoug,0,Broye-Vully
Vully-les-Lacs,1,Broye-Vully
Bettens,1,Gros-de-Vaud
Bournens,1,Gros-de-Vaud
Boussens,1,Gros-de-Vaud
La Chaux (Cossonay),1,Morges
Chavannes-le-Veyron,1,Morges
Chevilly,1,Morges
Cossonay,0,Morges
Cuarnens,1,Morges
Daillens,1,Gros-de-Vaud
Dizy,1,Morges
Eclépens,0,Morges
Ferreyres,1,Morges
Gollion,1,Morges
Grancy,1,Morges
L'Isle,2,Morges
Lussery-Villars,1,Gros-de-Vaud
Mauraz,0,Morges
Mex,1,Gros-de-Vaud
Moiry,2,Morges
Mont-la-Ville,2,Morges
Montricher,2,Morges
Orny,1,Morges
Penthalaz,0,Gros-de-Vaud
Penthaz,1,Gros-de-Vaud
Pompaples,1,Morges
La Sarraz,0,Morges
Senarclens,1,Morges
Sullens,1,Gros-de-Vaud
Vufflens-la-Ville,0,Gros-de-Vaud
Assens,0,Gros-de-Vaud
Bercher,0,Gros-de-Vaud
Bottens,1,Gros-de-Vaud
Bretigny-sur-Morrens,1,Gros-de-Vaud
Cugy,1,Gros-de-Vaud
Echallens,0,Gros-de-Vaud
Essertines-sur-Yverdon,1,Gros-de-Vaud
Etagnières,0,Gros-de-Vaud
Fey,0,Gros-de-Vaud
Froideville,2,Gros-de-Vaud
Morrens,1,Gros-de-Vaud
Oulens-sous-Echallens,1,Gros-de-Vaud
Pailly,1,Gros-de-Vaud
Penthéréaz,1,Gros-de-Vaud
Poliez-Pittet,1,Gros-de-Vaud
Rueyres,1,Gros-de-Vaud
Saint-Barthélemy,1,Gros-de-Vaud
Villars-le-Terroir,1,Gros-de-Vaud
