wayId,cycleway,length,coordinates
5118830,lane,96.02937097085614,"[(46.519731, 6.630745), (46.5196857, 6.6313), (46.5196682, 6.6315311), (46.5196391, 6.6319153), (46.5196317, 6.6319881)]"
5119071,opposite,161.779528328307,"[(46.5228521, 6.6350735), (46.5230549, 6.6351282), (46.5230811, 6.6351353), (46.5231225, 6.6351482), (46.5232691, 6.6351843), (46.5235827, 6.6352993), (46.5237547, 6.635387), (46.5240527, 6.6355786), (46.5241711, 6.6356493), (46.5242375, 6.6356875)]"
5196486,track,11.624745531673717,"[(46.5117754, 6.616993), (46.5118419, 6.6168761)]"
7999775,lane,307.1521671958619,"[(46.4290939, 6.9206639), (46.4288521, 6.9210104), (46.4285477, 6.9213465), (46.4280841, 6.9217774), (46.4279148, 6.9219348), (46.427846, 6.9219973), (46.4276333, 6.9221909), (46.4276052, 6.9222139), (46.4272944, 6.9224686), (46.4267896, 6.9228367)]"
8019909,lane,101.59812112257796,"[(46.5211854, 6.6231454), (46.5212055, 6.6233869), (46.5212072, 6.6234562), (46.5212324, 6.624467)]"
8019911,lane,51.704742378492426,"[(46.5192942, 6.6189574), (46.5194109, 6.6187891), (46.5195232, 6.6186158), (46.5196165, 6.6184717)]"
8032104,lane,297.46539228395613,"[(46.3432235, 6.1583563), (46.3433627, 6.1580892), (46.3440794, 6.1568003), (46.3445706, 6.1559229), (46.344678, 6.1557305), (46.344732, 6.1556328), (46.3447797, 6.1555374), (46.3448185, 6.1554533), (46.3448505, 6.1553817), (46.3448756, 6.1553188)]"
8205761,lane,514.0919271437093,"[(46.4683879, 6.8243646), (46.4683924, 6.8244579), (46.468395, 6.8245217), (46.4684121, 6.8246759), (46.468496, 6.8252628), (46.4685242, 6.8254822), (46.4685449, 6.8256808), (46.4685595, 6.825861), (46.4685704, 6.8260252), (46.4686428, 6.8273468), (46.468663, 6.8277174), (46.4686689, 6.8280266), (46.4686677, 6.8281476), (46.4686622, 6.8283164), (46.4686501, 6.8284899), (46.4686328, 6.8286752), (46.4686115, 6.8288509), (46.4685757, 6.8290827), (46.4684321, 6.8299243), (46.468413, 6.8300553), (46.4684034, 6.8301663), (46.4683982, 6.8302717), (46.4683953, 6.8304013), (46.4683874, 6.8309891)]"
8599815,opposite,390.86354074192616,"[(46.5238917, 6.6406465), (46.5239092, 6.6408051), (46.5239473, 6.6411571), (46.5239725, 6.6413844), (46.5240476, 6.6419928), (46.5240678, 6.6421565), (46.5241042, 6.6425063), (46.524113, 6.6426887), (46.5241136, 6.6428567), (46.5241068, 6.6429374), (46.5240986, 6.6430346), (46.5240453, 6.6433689), (46.5239306, 6.6437774), (46.523901, 6.6438818), (46.5236383, 6.6448209), (46.5235296, 6.6452289), (46.523538, 6.645344), (46.5235697, 6.645414), (46.5236345, 6.6455064)]"
8772869,opposite,241.8222230954114,"[(46.5339047, 6.6569873), (46.5338438, 6.6565352), (46.5337706, 6.6559036), (46.5337586, 6.6557997), (46.5337514, 6.6557334), (46.5337175, 6.6554196), (46.5336973, 6.655233), (46.5336678, 6.6549603), (46.5336513, 6.6548416), (46.5336378, 6.6547507), (46.5336205, 6.654635), (46.5335997, 6.6544875), (46.5335737, 6.6543966), (46.5335646, 6.6543647), (46.5335969, 6.6542365), (46.5336773, 6.6540173), (46.5337104, 6.6539347)]"
10113084,lane,23.91572776846312,"[(46.4692703, 6.8227233), (46.4690716, 6.8228427)]"
15535494,share_busway,31.503389157863666,"[(46.5333438, 6.6472274), (46.5334532, 6.6472046), (46.533625, 6.6471767)]"
22735309,lane,24.321736048668434,"[(46.7810757, 6.6497981), (46.7811133, 6.6498361), (46.7811737, 6.649897), (46.7812571, 6.6499761)]"
23364895,lane,146.76105879229465,"[(46.5320189, 6.5868316), (46.5320175, 6.5869659), (46.5320823, 6.587247), (46.5321028, 6.5873847), (46.5321115, 6.5875042), (46.5321072, 6.5876477), (46.5320889, 6.5877963), (46.5320642, 6.5879206), (46.5320287, 6.5880559), (46.5319601, 6.5882146), (46.5318067, 6.5884761), (46.5317839, 6.5885937)]"
23365395,lane,206.1053907341024,"[(46.5283131, 6.5416576), (46.5293898, 6.5416984), (46.5295875, 6.5417054), (46.5301666, 6.5417262)]"
