ID Wikidata,Nom,Description,Latitude,Longitude,Population,Remplacé par
Q52726,Chavornay,municipality in Switzerland,6.5693871,46.706261,4903,
Q68213,Orbe,municipality in Switzerland,6.5317943,46.724144,6601,
Q52703,Chavannes-des-Bois,municipality in Switzerland,6.132561,46.3147141,797,
Q52268,Bogis-Bossey,municipality in Switzerland,6.1648147,46.3515732,830,
Q57097,Coppet,municipality in Switzerland,6.1927752,46.3164464,2887,
Q43232,Aubonne,"municipality in the canton of Vaud, Switzerland",6.3915748,46.4952916,2570,
Q70216,Etoy,municipality in Switzerland,6.4193113,46.4860906,2860,
Q52291,Buchillon,municipality in Switzerland,6.4230108,46.4702466,648,
Q43201,Allaman,municipality in Switzerland,6.396174,46.4707776,402,
Q68756,Lavigny,municipality in Switzerland,6.4045912,46.5011843,897,
Q70199,Grandson,municipality in Switzerland,6.6417532,46.8086306,3181,
Q68587,Vallorbe,municipality in Switzerland,6.3792318,46.7120146,3850,
Q55285028,Le Pont,"village in the municipality of L'Abbaye, Switzerland",6.3256327,46.6683679,,
Q3058100,Le Sentier,village in Switzerland,6.2314896,46.606022,,
Q962246,Le Brassus,"village in Vaud, Switzerland",6.2123361,46.5839591,,
Q3204685,L'Orient,village in Switzerland,6.2401453,46.6015355,,
Q3231376,Les Charbonnières,village in Switzerland,6.3149896,46.6663653,,
Q69546,Le Lieu,municipality in Switzerland,6.280313,46.6462186,795,
Q70665,Vaulion,municipality in Switzerland,6.3894066,46.6883547,437,
Q70671,Romainmôtier-Envy,municipality in Switzerland,6.4611912,46.6932583,526,
Q70541,Croy,municipality in Switzerland,6.4771721,46.6945678,321,
Q43212,Arnex-sur-Orbe,municipality in Switzerland,6.5187517,46.6941594,600,
Q57111,Cossonay,municipality in Switzerland,6.508938,46.6138202,4386,
Q70210,La Sarraz,municipality in Switzerland,6.5124448,46.6590583,1728,
Q68917,Orny,municipality in Switzerland,6.5256309,46.6676263,334,
Q70110,Lucens,municipality in Switzerland,6.8389766,46.708447,4133,
Q52261,Bex,municipality in Switzerland,7.0123881,46.2513776,7364,
Q3234774,Les Plans-sur-Bex,"Locality of the Vaud Alps in the municipality of Bex, Switzerland",7.0903354,46.2570475,+132,
