Nom,Latitude,Longitude,Population,Commune
Oron-le-ChÃ¢tel,6.8424561,46.5756183,233,
Chesalles-sur-Oron,6.8526495,46.5760782,148,
Grand-Mont,6.6316041,46.5624038,1400,
Essert,6.5841572,46.7924911,132,
Servion,6.7845039,46.5767948,2078,
Les Thioleyres,6.8121121,46.5406228,172,
Chavannes-sur-Moudon,6.8092169,46.6571671,197,
Ferreyres,6.4860425,46.6577788,222,
Villars-Burquin,6.6279243,46.8470936,504,
Pizy,6.3522999,46.4923283,65,
Provence,6.7270271,46.8914636,368,
Reverolle,6.4384876,46.5416336,323,
Rances,6.5300272,46.7602787,419,
ChÃ¢tillens,6.8149745,46.5678208,365,
Peney-le-Jorat,6.7280379,46.6309179,312,
Savigny,6.7316194,46.5384249,3084,
Vaugondry,6.6369496,46.8466335,38,
Maracon,6.8727444,46.5500232,416,
ChÃ¢teau-d'Oex,7.1303012,46.4738413,2949,
Leysin,7.0148403,46.3438701,4000,
La TuiliÃ¨re,6.6995623,46.7138454,,
Le Muids,6.2196398,46.4542786,,
Naz,6.6956473,46.6580065,137,
Les Rasses,6.5402244,46.8292221,574,
Salavaux,7.0221,46.9171744,,
Antagnes,7.0129283,46.2767825,,
Mollie-Margot,6.7506448,46.5566174,,
Vers-chez-les-Blanc,6.6929467,46.5533939,,
La Claie-aux-Moines,6.7043595,46.5411119,,
Vers l'Ã‰glise,7.1316798,46.3539017,,
ChesiÃ¨res,7.0425766,46.3012904,,
La Vraconnaz,6.4831724,46.8414921,,
La Chaux de-Ste-Croix,6.4782064,46.830687,,
Le SÃ©pey,7.051225,46.3611362,,
Fenalet-sur-Bex,7.0266253,46.2717426,,
Peney,6.561092,46.8026753,,
Brent,6.901682,46.4579773,,
Chernex,6.9088409,46.4456342,,
Les Posses-sur-Bex,7.0471292,46.2712905,,
Epautheyres,6.6432671,46.7388257,,
Le Day,6.3994595,46.7163872,,
Aran,6.7101518,46.4979717,,
Les Bioux,6.2716224,46.6216443,,
Les Moulins,7.107087,46.4606024,,
Saint-Triphon,6.9784632,46.2926382,,
Les Tuileries,6.6264686,46.7984514,,
Montblesson,6.680117,46.5403139,,
Crebelley,6.9017862,46.364681,,
Chailly,6.8923334,46.454379,,
Allens,6.5100485,46.600124,,
Arveyes,7.061769,46.2905528,,
